pair_id,review_order,word,pos,material_labels,source_sense_id_a,definition_a,labels_a,examples_a,source_sense_id_b,definition_b,labels_b,examples_b,decision,review_notes
bank:noun:1f4cbf0e0bce:285c222cc4bb09fd,1,bank,noun,,WIK:wiktionary-20260901:m004.3-v1:en:0fa1221888fd16ba00cbf0a4:content:dddfd4e79e36815a343d910a:1:sense,A row of keys on a musical keyboard or the equivalent on a typewriter keyboard.,,,WIK:wiktionary-20260901:m004.3-v1:en:50905ed5becbbde994b7d164:content:ccc99e61e340272c45dc0669:1:sense,"A bench, or row of keys belonging to a keyboard, as in an organ.",,,MERGE,Same learner meaning: a bank/row of keyboard keys; wording/context differs.
bank:noun:1f4cbf0e0bce:864d69a5afa85f8c,2,bank,noun,,WIK:wiktionary-20260901:m004.3-v1:en:d39e2017df6b5a542077f5be:content:35b05158b94805494656acfb:1:sense,The sum of money etc. which the dealer or banker has as a fund from which to draw stakes and pay losses.,countable,,WIK:wiktionary-20260901:m004.3-v1:en:d39e2017df6b5a542077f5be:content:f1458e5fbe5985f06d9da777:1:sense,"In certain games, such as dominos, a fund of pieces from which the players are allowed to draw.",countable,,KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
bank:noun:1f4cbf0e0bce:d80582ac89540606,3,bank,noun,,WIK:wiktionary-20260901:m004.3-v1:en:1df467ba0f9dc023d130e9d2:content:5cf437c1877da6316f91d339:1:sense,The face of the coal at which miners are working.,,,WIK:wiktionary-20260901:m004.3-v1:en:d39e2017df6b5a542077f5be:content:f1458e5fbe5985f06d9da777:1:sense,"In certain games, such as dominos, a fund of pieces from which the players are allowed to draw.",countable,,KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
bark:noun:2c467fdc1bc5:77c508cd83cf6a5a,4,bark,noun,,WIK:wiktionary-20260901:m004.3-v1:en:6251578719ff81811ee36973:['en:Q184453']:3004c0ae866c157f0f281862:1:sense,The exterior covering of the trunk and branches of a tree or of various other woody plants.,countable;uncountable,"{""ref"": ""1879, Friedrich August Flückiger et al., Pharmacographia..., page 346:"", ""text"": ""The hardships of bark-collecting in the primeval forests of South America are of the severest kind, and undergone only by the half-civilized Indians and people of mixed race, in the pay of speculators or companies located in the towns. Those who are engaged in the business, especially the collectors themselves, are called Cascarilleros or Cascadores, from the Spanish word Cascara, bark."", ""type"": ""quotation""} | {""bold_text_offsets"": [[115, 119]], ""ref"": ""2012 December 26, John Branch, “Snow Fall: The Avalanche at Tunnel Creek”, in The New York Times, New York, N.Y.: The New York Times Company, →ISSN, →OCLC, archived from the original on 14 Nov 2013:"", ""text"": ""Moving about 70 miles per hour, it crashed through the sturdy old-growth trees, snapping their limbs and shredding bark from their trunks."", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:d8b47022cb7104c6f56e3b83:['en:animal_sound']:f8c1ae621b49f2c70b43456d:1:sense,"The short, loud, explosive sound uttered by a dog, a fox, and some other animals.",,,KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
bark:noun:2c467fdc1bc5:9237f7157dde367c,5,bark,noun,,WIK:wiktionary-20260901:m004.3-v1:en:2b8070a935061d302f45925e:content:40545291246d8510cffe582f:1:sense,"A vessel, typically with three (or more) masts, with the foremasts (or fore- and mainmasts) square-rigged, and mizzenmast schooner-rigged.",,"{""bold_text_offsets"": [[41, 46]], ""ref"": ""1997, Mark Kurlansky, Cod, page 114:"", ""text"": ""Europeans would cross the ocean in large barks built for deck space and large holds."", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:2b8070a935061d302f45925e:content:509a8698d83eafbb32ca74a4:1:sense,A sailing vessel or boat of any kind.,poetic,"{""bold_text_offsets"": [[34, 38]], ""ref"": ""c. 1609, William Shakespeare, Sonnet 116:"", ""text"": ""It is the star to every wandering bark"", ""type"": ""quotation""} | {""bold_text_offsets"": [[149, 153]], ""ref"": ""1817 December, Percy Bysshe Shelley, “The Revolt of Islam. […]”, in [Mary] Shelley, editor, The Poetical Works of Percy Bysshe Shelley. […], volume I, London: Edward Moxon […], published 1839, →OCLC, page 272:"", ""text"": ""We know not where we go, or what sweet dream\nMay pilot us through caverns strange and fair\nOf far and pathless passion, while the stream\nOf life our bark doth on its whirlpools bear,\nSpreading swift wings as sails to the dim air; […]"", ""type"": ""quotation""} | {""bold_text_offsets"": [[11, 15]], ""ref"": ""a. 1887 (date written), Emily Dickinson, “[Book I.—Life] Whether my bark went down at sea”, in Mabel Loomis Todd and T[homas] W[entworth] Higginson, editors, Poems, First Series, Boston, Mass.: Roberts Brothers, published 1890, →OCLC, page 38:"", ""text"": ""Whether my bark went down at sea, / Whether she met with gales, […]"", ""type"": ""quotation""}",UNCERTAIN,"Subtype versus generic vessel sense. Could be one learner container with a specialized subtype, but separation is also defensible."
break:verb:f8dfda58f7a7:1d49a2d65030a29f,6,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:57ef5a2d0616f290274dbf89:1:sense,To interrupt; to destroy the continuity of; to dissolve or terminate. | Of prices on the stock exchange: to fall suddenly.,intransitive;transitive,"{""bold_text_offsets"": [[180, 185]], ""ref"": ""2008, George Angell, Small Stocks for Big Profits:"", ""text"": ""With a few exceptions, stock prices tend to follow the overall market averages. When you have a market decline, therefore, many stocks share the same overall chart pattern. Prices break and go sideways for a period of time."", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:da659c6c5926a19f8b7f6a13:1:sense,To interrupt; to destroy the continuity of; to dissolve or terminate. | To end (a connection); to disconnect.,transitive,"{""bold_text_offsets"": [[34, 39]], ""text"": ""The referee ordered the boxers to break the clinch."", ""type"": ""example""} | {""bold_text_offsets"": [[12, 17]], ""text"": ""The referee broke the boxers' clinch."", ""type"": ""example""} | {""bold_text_offsets"": [[44, 49]], ""text"": ""I couldn’t hear a thing he was saying, so I broke the connection and called him back."", ""type"": ""example""} | {""bold_text_offsets"": [[3, 8]], ""tags"": [""collocation""], ""text"": ""to break an electric circuit"", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:38452cc3bd0a93d8,7,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:57ef5a2d0616f290274dbf89:1:sense,To interrupt; to destroy the continuity of; to dissolve or terminate. | Of prices on the stock exchange: to fall suddenly.,intransitive;transitive,"{""bold_text_offsets"": [[180, 185]], ""ref"": ""2008, George Angell, Small Stocks for Big Profits:"", ""text"": ""With a few exceptions, stock prices tend to follow the overall market averages. When you have a market decline, therefore, many stocks share the same overall chart pattern. Prices break and go sideways for a period of time."", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:c77524f4dce52e1a6db77714:1:sense,To interrupt; to destroy the continuity of; to dissolve or terminate. | To end the run of (a play).,transitive,"{""bold_text_offsets"": [[18, 23]], ""ref"": ""1958, Walter Macqueen-Pope, St. James's: Theatre of Distinction, page 134:"", ""text"": ""In July Alexander broke the run and went on tour, as was his custom. He believed in keeping in touch with provincial audiences and how wise he was!"", ""type"": ""quotation""} | {""bold_text_offsets"": [[20, 25]], ""ref"": ""1986, Kurt Gänzl, The British Musical Theatre: 1865-1914, page 610:"", ""text"": ""After Camberwell he broke the play's season and brought it back in the autumn with a few revisions and a noticeably strengthened cast but without any special success."", ""type"": ""quotation""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:3fc6606b95123405,8,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:57ef5a2d0616f290274dbf89:1:sense,To interrupt; to destroy the continuity of; to dissolve or terminate. | Of prices on the stock exchange: to fall suddenly.,intransitive;transitive,"{""bold_text_offsets"": [[180, 185]], ""ref"": ""2008, George Angell, Small Stocks for Big Profits:"", ""text"": ""With a few exceptions, stock prices tend to follow the overall market averages. When you have a market decline, therefore, many stocks share the same overall chart pattern. Prices break and go sideways for a period of time."", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:f9559121647a23f647548297:1:sense,To interrupt; to destroy the continuity of; to dissolve or terminate. | To end the continuity or consistency of something.,transitive,"{""bold_text_offsets"": [[4, 9]], ""text"": ""She broke the matching set by buying a one of a kind item."", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:4f57857d75ec37d0,9,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:7099a90c2791c9f3398613bb:1:sense,To change a steady state abruptly. | To counter-attack.,intransitive;transitive,"{""bold_text_offsets"": [[58, 63]], ""ref"": ""2010 December 28, Kevin Darlin, “West Brom 1 - 3 Blackburn”, in BBC:"", ""text"": ""The Baggies almost hit back instantly when Graham Dorrans broke from midfield and pulled the trigger from 15 yards but Paul Robinson did superbly to tip the Scot's drive around the post."", ""type"": ""quotation""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:db3797dceecdf3b9f81a1175:1:sense,To change a steady state abruptly.,transitive,"{""bold_text_offsets"": [[13, 18]], ""text"": ""His coughing broke the silence."", ""type"": ""example""} | {""bold_text_offsets"": [[26, 31]], ""text"": ""His turning on the lights broke the enchantment."", ""type"": ""example""} | {""bold_text_offsets"": [[14, 20]], ""text"": ""With the mood broken, what we had been doing seemed pretty silly."", ""type"": ""example""}",KEEP SEPARATE,Distinct learner use; preserve as separate meaning.
break:verb:f8dfda58f7a7:521411d623030b13,10,break,verb,,WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:5e72c0a29577ececb3770f7c:1:sense,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly. | To crack or fracture (bone) under a physical strain.",ergative;intransitive;transitive,"{""bold_text_offsets"": [[9, 14]], ""text"": ""His ribs broke under the weight of the rocks piled on his chest."", ""type"": ""example""} | {""bold_text_offsets"": [[26, 31]], ""text"": ""He slipped on the ice and broke his leg."", ""type"": ""example""}",WIK:wiktionary-20260901:m004.3-v1:en:73938374c95fe26cac53c563:content:e01926b5b98f3ab42f60dd0f:1:sense,"To separate into two or more pieces, to fracture or crack, by a process that cannot easily be reversed for reassembly.",ergative;intransitive;transitive,"{""bold_text_offsets"": [[41, 46]], ""text"": ""If the vase falls to the floor, it might break."", ""type"": ""example""} | {""bold_text_offsets"": [[49, 54]], ""text"": ""In order to tend to the accident victim, he will break the window of the car."", ""type"": ""example""} | {""bold_text_offsets"": [[167, 172]], ""ref"": ""2012 May 8, Yotam Ottolenghi, Sami Tamimi, Ottolenghi: The Cookbook, Random House, →ISBN, page 79:"", ""text"": ""First, marinate the tofu. In a bowl, whisk the kecap manis, chilli sauce, and sesame oil together. Cut the tofu into strips about 1cm thick, mix gently (so it doesn't break) with the marinade and leave in the fridge for half an hour."", ""type"": ""quotation""}",MERGE,Bone fracture is an ordinary contextual application of the general crack/fracture meaning.
